state_fp,county_fp,avg_walkability_index,avg_intersection_density,avg_proximity_to_transit,avg_employment_mix,avg_employment_household_mix,block_groups
12,67,4.8056,2.9374,NA,0.321,0.6376,6
12,69,7.2669,54.1403,NA,0.5978,0.5157,148
12,71,9.4202,61.0434,610.8614,0.5146,0.4777,514
12,73,9.9492,62.5085,485.5894,0.5358,0.497,177
12,75,5.0575,10.707,NA,0.5211,0.4523,29
12,77,4.1667,2.6631,NA,0.3733,0.5858,6
12,79,5.1771,17.4922,NA,0.5588,0.4757,16
12,81,11.2252,82.249,553.3723,0.5793,0.4966,208
12,83,7.3514,39.1902,646.6732,0.5715,0.4547,175
12,85,6.9273,45.1733,NA,0.5859,0.5313,94
12,86,13.8965,145.308,430.5969,0.5611,0.4663,1594
12,87,10.8553,85.7819,464.5574,0.6236,0.6154,76
12,89,6.3542,30.26,NA,0.6006,0.5038,40
12,91,7.7179,61.9545,NA,0.5868,0.5628,117
12,93,5.8631,31.6351,NA,0.5243,0.5217,28
12,95,11.6782,83.0063,578.9184,0.6241,0.5631,375
12,97,10.1776,71.3133,620.9722,0.5884,0.5571,76
12,99,10.845,78.5396,567.7718,0.5577,0.4962,886
12,101,9.0541,65.1773,695.421,0.5469,0.4461,308
12,103,12.8576,108.3385,520.133,0.5748,0.4878,721
12,105,8.1294,51.1341,555.6753,0.5275,0.5078,331
12,107,5.7732,35.3287,1023.27,0.4794,0.4264,61
12,109,8.2337,51.8267,667.1554,0.6342,0.5535,82
12,111,7.2104,69.3499,NA,0.5465,0.4396,141
12,113,6.3291,26.3963,NA,0.5942,0.5205,78
12,115,11.7302,88.2823,559.9766,0.5859,0.4932,252
12,117,9.6603,70.4295,702.0917,0.6083,0.536,235
12,119,5.6341,27.0683,NA,0.4646,0.4969,41
12,121,5.641,21.9918,NA,0.5091,0.5378,26
12,123,5.7083,33.8565,NA,0.4064,0.5337,20
12,125,4.8889,8.5811,NA,0.4254,0.5257,9
12,127,10.7238,64.6855,570.7632,0.5918,0.4945,289
12,129,5.0222,5.4192,NA,0.5958,0.4214,15
12,131,6.0852,24.2404,NA,0.5541,0.5623,45
12,133,5.2,15.521,NA,0.5127,0.4964,15
13,1,5.2262,12.3829,NA,0.4198,0.6055,14
13,3,4.6667,2.649,NA,0.4928,0.5103,6
13,5,5.9259,21.8247,NA,0.4771,0.6201,9
13,7,3.4583,0.8574,NA,0.3586,0.4258,4
13,9,6.086,43.8601,NA,0.4711,0.4687,31
13,11,5.0476,1.7901,NA,0.5666,0.5898,7
13,13,5.9608,22.2085,NA,0.513,0.5505,34
13,15,6.5748,30.446,NA,0.5746,0.5592,49
13,17,6.4111,54.8648,NA,0.4685,0.5031,15
13,19,4.1333,7.469,NA,0.4401,0.4087,15
13,21,7.2169,72.5082,NA,0.5042,0.5289,126
13,23,6.1667,26.2557,NA,0.6115,0.5467,8
13,25,4.0556,2.2665,NA,0.4874,0.3977,9
13,27,5.0333,30.8807,NA,0.5064,0.4728,15
13,29,5.869,10.732,NA,0.6392,0.5277,14
13,31,6.3968,81.7237,NA,0.5401,0.502,42
13,33,3.9688,15.2958,NA,0.3661,0.4453,16
13,35,6.0357,23.0689,NA,0.6069,0.5298,14
13,37,4.8611,1.3128,NA,0.5639,0.5997,6
13,39,5.8933,15.5706,NA,0.5947,0.4832,25
13,43,4.8333,9.0732,NA,0.5173,0.5162,8
13,45,6.1289,26.5737,NA,0.5845,0.5124,53
13,47,6.0833,29.2423,NA,0.5333,0.4778,34
13,49,4.8889,6.7423,NA,0.5438,0.5243,6
13,51,11.535,118.6676,437.6466,0.4704,0.4828,205
13,53,5.2667,24.9501,NA,0.3573,0.5304,10
13,55,5.0985,22.572,NA,0.4388,0.4521,22
13,57,6.951,28.6969,NA,0.6613,0.5479,85
13,59,7.3194,92.6719,NA,0.5341,0.514,72
13,61,6.1111,17.1621,NA,0.6226,0.6342,3
13,63,9.1376,51.9147,711.2892,0.4716,0.4432,126
13,65,5.381,8.453,NA,0.5381,0.6073,7
13,67,8.9271,55.3766,729.3481,0.604,0.545,350
13,69,5.8457,25.2097,NA,0.5555,0.5303,27
13,71,6.0111,37.656,NA,0.5013,0.5359,30
13,73,6.9152,30.114,NA,0.6561,0.5457,55
13,75,5.9222,33.8119,NA,0.4943,0.5651,15
13,77,6.0702,22.4617,NA,0.6004,0.4949,57
13,79,4.125,2.02,NA,0.4396,0.4778,8
13,81,6.4333,49.5865,NA,0.4754,0.5458,20
13,83,5.3542,9.2151,NA,0.5262,0.5092,8
13,85,6.2333,11.6306,NA,0.7006,0.5118,10
13,87,5.7063,28.0321,NA,0.489,0.5443,21
13,89,11.2333,66.1347,602.3986,0.5432,0.4776,390
13,91,4.7647,15.0596,NA,0.461,0.4803,17
13,93,4.3704,3.2952,NA,0.5,0.473,9
13,95,8.1353,86.9008,NA,0.5202,0.592,69
13,97,6.3848,25.544,1037.1333,0.5733,0.4928,55
13,99,4.4872,3.466,NA,0.4986,0.5209,13
13,101,3.3333,1.1437,NA,0.2163,0.5032,3
13,103,4.8258,7.2501,NA,0.5567,0.4442,22
13,105,5.2333,26.4159,NA,0.4328,0.5041,20
13,107,5.4722,16.648,NA,0.59,0.5306,18
13,109,5.9667,20.1487,NA,0.5659,0.5728,10
13,111,5.8704,13.0204,NA,0.6511,0.4849,18
13,113,6.6293,24.3036,NA,0.6472,0.537,49
13,115,6.0774,29.7206,NA,0.5411,0.5119,56
13,117,6.4753,26.293,NA,0.5975,0.5209,108
13,119,5.5625,8.4684,NA,0.5627,0.5448,16
13,121,11.5582,79.3346,458.9443,0.5501,0.539,544
13,123,5,7.1351,NA,0.5936,0.4094,16
13,125,3.6111,1.2594,NA,0.4688,0.4101,3
13,127,7.5394,75.4254,NA,0.5616,0.5451,55
13,129,5.6494,18.0829,NA,0.5047,0.5379,29
